SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Ballarat	0	Transport postal and warehousing	94
Ballarat	0	Wholesale trade	29
Ballarat	1		250
Ballarat	1	Accommodation and food services	1840
Ballarat	1	Administrative and support services	307
Ballarat	1	Agriculture forestry and fishing	243
Ballarat	1	Arts and recreation services	309
Ballarat	1	Construction	239
Ballarat	1	Education and training	845
Ballarat	1	Electricity gas water and waste services	20
Ballarat	1	Financial and insurance services	50
Ballarat	1	Health care and social assistance	1016
Ballarat	1	Information media and telecommunications	93
Ballarat	1	Manufacturing	386
Ballarat	1	Mining	16
Ballarat	1	Other services	328
Ballarat	1	Professional scientific and technical services	364
Ballarat	1	Public administration and safety	248
Ballarat	1	Rental hiring and real estate services	68
Ballarat	1	Retail trade	1655
Ballarat	1	Transport postal and warehousing	179
Ballarat	1	Wholesale trade	104
Ballarat	16		167
Ballarat	16	Accommodation and food services	715
Ballarat	16	Administrative and support services	187
Ballarat	16	Agriculture forestry and fishing	208
Ballarat	16	Arts and recreation services	178
Ballarat	16	Construction	232
Ballarat	16	Education and training	817
Ballarat	16	Electricity gas water and waste services	24
Ballarat	16	Financial and insurance services	96
Ballarat	16	Health care and social assistance	1812
Ballarat	16	Information media and telecommunications	73
Ballarat	16	Manufacturing	293
Ballarat	16	Mining	15
Ballarat	16	Other services	230
Ballarat	16	Professional scientific and technical services	308
Ballarat	16	Public administration and safety	327
Ballarat	16	Rental hiring and real estate services	60
Ballarat	16	Retail trade	997
Ballarat	16	Transport postal and warehousing	155
Ballarat	16	Wholesale trade	91
Ballarat	25		164
Ballarat	25	Accommodation and food services	614
Ballarat	25	Administrative and support services	177
Ballarat	25	Agriculture forestry and fishing	265
Ballarat	25	Arts and recreation services	173
Ballarat	25	Construction	285
Ballarat	25	Education and training	922
Ballarat	25	Electricity gas water and waste services	38
Ballarat	25	Financial and insurance services	103
Ballarat	25	Health care and social assistance	2359
Ballarat	25	Information media and telecommunications	79
Ballarat	25	Manufacturing	305
Ballarat	25	Mining	24
Ballarat	25	Other services	270
Ballarat	25	Professional scientific and technical services	360
Ballarat	25	Public administration and safety	340
Ballarat	25	Rental hiring and real estate services	52
Ballarat	25	Retail trade	1025
Ballarat	25	Transport postal and warehousing	236
Ballarat	25	Wholesale trade	110
Ballarat	35		333
Ballarat	35	Accommodation and food services	487
Ballarat	35	Administrative and support services	208
Ballarat	35	Agriculture forestry and fishing	239
Ballarat	35	Arts and recreation services	167
Ballarat	35	Construction	701
Ballarat	35	Education and training	1158
Ballarat	35	Electricity gas water and waste services	132
Ballarat	35	Financial and insurance services	193
Ballarat	35	Health care and social assistance	1779
Ballarat	35	Information media and telecommunications	250
Ballarat	35	Manufacturing	1318
Ballarat	35	Mining	47
Ballarat	35	Other services	424
Ballarat	35	Professional scientific and technical services	464
Ballarat	35	Public administration and safety	853
Ballarat	35	Rental hiring and real estate services	130
Ballarat	35	Retail trade	1148
Ballarat	35	Transport postal and warehousing	292
Ballarat	35	Wholesale trade	239
Ballarat	40		312
Ballarat	40	Accommodation and food services	280
Ballarat	40	Administrative and support services	147
Ballarat	40	Agriculture forestry and fishing	386
Ballarat	40	Arts and recreation services	130
Ballarat	40	Construction	1210
Ballarat	40	Education and training	782
Ballarat	40	Electricity gas water and waste services	151
Ballarat	40	Financial and insurance services	203
Ballarat	40	Health care and social assistance	1448
Ballarat	40	Information media and telecommunications	150
Ballarat	40	Manufacturing	1114
Ballarat	40	Mining	58
Ballarat	40	Other services	343
Ballarat	40	Professional scientific and technical services	629
Ballarat	40	Public administration and safety	719
Ballarat	40	Rental hiring and real estate services	123
Ballarat	40	Retail trade	708
Ballarat	40	Transport postal and warehousing	328
Ballarat	40	Wholesale trade	245
Ballarat	41		121
Ballarat	41	Accommodation and food services	249
Ballarat	41	Administrative and support services	58
Ballarat	41	Agriculture forestry and fishing	219
Ballarat	41	Arts and recreation services	68
Ballarat	41	Construction	512
Ballarat	41	Education and training	572
Ballarat	41	Electricity gas water and waste services	51
Ballarat	41	Financial and insurance services	82
Ballarat	41	Health care and social assistance	549
Ballarat	41	Information media and telecommunications	217
Ballarat	41	Manufacturing	722
Ballarat	41	Mining	82
Ballarat	41	Other services	206
Ballarat	41	Professional scientific and technical services	312
Ballarat	41	Public administration and safety	320
Ballarat	41	Rental hiring and real estate services	88
Ballarat	41	Retail trade	442
Ballarat	41	Transport postal and warehousing	225
Ballarat	41	Wholesale trade	155
Ballarat	49		242
Ballarat	49	Accommodation and food services	495
Ballarat	49	Administrative and support services	103
Ballarat	49	Agriculture forestry and fishing	817
Ballarat	49	Arts and recreation services	147
Ballarat	49	Construction	733
Ballarat	49	Education and training	874
Ballarat	49	Electricity gas water and waste services	69
Ballarat	49	Financial and insurance services	96
Ballarat	49	Health care and social assistance	679
Ballarat	49	Information media and telecommunications	115
Ballarat	49	Manufacturing	660
Ballarat	49	Mining	161
Ballarat	49	Other services	256
Ballarat	49	Professional scientific and technical services	373
Ballarat	49	Public administration and safety	283
Ballarat	49	Rental hiring and real estate services	146
Ballarat	49	Retail trade	584
Ballarat	49	Transport postal and warehousing	501
Ballarat	49	Wholesale trade	167
Bendigo			434
Bendigo		Accommodation and food services	88
Bendigo		Administrative and support services	23
Bendigo		Agriculture forestry and fishing	52
Bendigo		Arts and recreation services	9
Bendigo		Construction	64
Bendigo		Education and training	41
Bendigo		Electricity gas water and waste services	6
Bendigo		Financial and insurance services	19
Bendigo		Health care and social assistance	83
Bendigo		Information media and telecommunications	3
Bendigo		Manufacturing	67
Bendigo		Mining	5
Bendigo		Other services	18
Bendigo		Professional scientific and technical services	21
Bendigo		Public administration and safety	33
Bendigo		Rental hiring and real estate services	7
Bendigo		Retail trade	78
Bendigo		Transport postal and warehousing	21
Bendigo		Wholesale trade	12
Bendigo	0		92
Bendigo	0	Accommodation and food services	132
Bendigo	0	Administrative and support services	65
Bendigo	0	Agriculture forestry and fishing	75
Bendigo	0	Arts and recreation services	49
Bendigo	0	Construction	115
Bendigo	0	Education and training	215
Bendigo	0	Electricity gas water and waste services	32
Bendigo	0	Financial and insurance services	106
Bendigo	0	Health care and social assistance	624
Bendigo	0	Information media and telecommunications	21
Bendigo	0	Manufacturing	183
Bendigo	0	Mining	34
Bendigo	0	Other services	76
Bendigo	0	Professional scientific and technical services	77
Bendigo	0	Public administration and safety	234
Bendigo	0	Rental hiring and real estate services	16
Bendigo	0	Retail trade	276
Bendigo	0	Transport postal and warehousing	77
Bendigo	0	Wholesale trade	40
Bendigo	1		264
Bendigo	1	Accommodation and food services	1590
Bendigo	1	Administrative and support services	300
Bendigo	1	Agriculture forestry and fishing	256
Bendigo	1	Arts and recreation services	228
Bendigo	1	Construction	262
Bendigo	1	Education and training	772
Bendigo	1	Electricity gas water and waste services	21
Bendigo	1	Financial and insurance services	101
Bendigo	1	Health care and social assistance	1051
Bendigo	1	Information media and telecommunications	100
Bendigo	1	Manufacturing	445
Bendigo	1	Mining	31
Bendigo	1	Other services	309
Bendigo	1	Professional scientific and technical services	325
Bendigo	1	Public administration and safety	197
Bendigo	1	Rental hiring and real estate services	56
Bendigo	1	Retail trade	1882
Bendigo	1	Transport postal and warehousing	178
Bendigo	1	Wholesale trade	113
Bendigo	16		156
Bendigo	16	Accommodation and food services	633
Bendigo	16	Administrative and support services	221
Bendigo	16	Agriculture forestry and fishing	221
Bendigo	16	Arts and recreation services	106
Bendigo	16	Construction	215
Bendigo	16	Education and training	759
Bendigo	16	Electricity gas water and waste services	30
Bendigo	16	Financial and insurance services	199
Bendigo	16	Health care and social assistance	1760
Bendigo	16	Information media and telecommunications	55
Bendigo	16	Manufacturing	350
Bendigo	16	Mining	34
Bendigo	16	Other services	201
Bendigo	16	Professional scientific and technical services	270
Bendigo	16	Public administration and safety	285
Bendigo	16	Rental hiring and real estate services	59
Bendigo	16	Retail trade	1000
Bendigo	16	Transport postal and warehousing	174
Bendigo	16	Wholesale trade	81
Bendigo	25		210
Bendigo	25	Accommodation and food services	530
Bendigo	25	Administrative and support services	212
Bendigo	25	Agriculture forestry and fishing	295
Bendigo	25	Arts and recreation services	121
Bendigo	25	Construction	329
Bendigo	25	Education and training	800
Bendigo	25	Electricity gas water and waste services	62
Bendigo	25	Financial and insurance services	200
Bendigo	25	Health care and social assistance	2422
Bendigo	25	Information media and telecommunications	72
Bendigo	25	Manufacturing	470
Bendigo	25	Mining	29
Bendigo	25	Other services	291
Bendigo	25	Professional scientific and technical services	330
Bendigo	25	Public administration and safety	387
Bendigo	25	Rental hiring and real estate services	60
Bendigo	25	Retail trade	942
Bendigo	25	Transport postal and warehousing	196
Bendigo	25	Wholesale trade	66
Bendigo	35		338
Bendigo	35	Accommodation and food services	407
Bendigo	35	Administrative and support services	276
Bendigo	35	Agriculture forestry and fishing	314
Bendigo	35	Arts and recreation services	126
Bendigo	35	Construction	669
Bendigo	35	Education and training	914
Bendigo	35	Electricity gas water and waste services	137
Bendigo	35	Financial and insurance services	595
Bendigo	35	Health care and social assistance	1710
Bendigo	35	Information media and telecommunications	163
Bendigo	35	Manufacturing	1531
Bendigo	35	Mining	58
Bendigo	35	Other services	422
Bendigo	35	Professional scientific and technical services	490
